kernel,class,class_cap,app_cap,tier_nodes,stop,iterations,applications,classes_at_stop,live_classes,objective,shared_pass_bytes,input_nodes,compiled_nodes,bytes,dag_cost,schedule,selects,guarded,exclusive,spill_slots,hoisted,same_form_nan_mismatch,same_form_max_abs,packed_mismatch_same,optimize_ms,emit_ms,sat_wall_ms,peak_alloc_mb,git_sha
cellgrid_80x24_d2,cellgrid,10000,200000,667,class_cap,3,12749,9059,2057,shared,427208,667,117,2576,428,217,0,0,0,6,19,0,0,0,27.584,0.588,26.627,4.67,8ecdc098
chrome_packed,chrome,10000,200000,390815,class_cap,2,11528,9495,2933,shared,573144,335411,404,3600,1673,388,17,612,614,28,9,0,0,0,193.262,4.335,37.815,34.88,8ecdc098
chrome_R,chrome_channel,10000,200000,133101,class_cap,2,11432,9413,2850,shared,544036,114633,294,2704,1384,281,9,404,406,24,8,0,0.000017881393432617188,0,70.381,2.777,33.092,12.00,8ecdc098
glyph16_U0020,glyph16,10000,200000,1,quiesced,1,0,1,1,tree_cheaper,4,1,1,164,0,1,0,0,0,0,0,0,0,0,0.452,0.245,0.015,0.00,a1d56ee4
glyph16_U0021,glyph16,10000,200000,267,class_cap,5,34662,7498,1103,tree_cheaper,30688,283,91,1104,275,56,7,48,54,0,15,0,0.00000095367431640625,0,867.431,2.045,866.831,3.66,a1d56ee4
glyph16_U0022,glyph16,10000,200000,191,quiesced,7,17694,1642,151,tree_cheaper,2276,207,62,736,175,46,5,31,49,0,8,0,0.000000476837158203125,0,118.474,1.084,118.019,0.84,a1d56ee4
glyph16_U0023,glyph16,10000,200000,647,class_cap,3,17063,6079,940,tree_cheaper,44316,663,276,2720,1071,144,17,143,207,0,39,0,0.0000018477439880371096,0,209.533,3.017,208.805,2.91,a1d56ee4
glyph16_U0024,glyph16,10000,200000,6151,class_cap,1,6451,9939,5014,shared,552712,3363,2850,26752,12604,680,83,1574,1602,0,329,0,0.000002294778823852539,0,36.534,19.034,31.873,5.57,a1d56ee4
glyph16_U0025,glyph16,10000,200000,8791,class_cap,1,5403,9988,5462,shared,588820,4599,3870,35024,17563,982,113,2442,2442,0,391,0,0.0000019371509552001953,0,41.001,27.046,33.643,6.02,a1d56ee4
glyph16_U0026,glyph16,10000,200000,7719,class_cap,1,6117,9971,5282,shared,594640,4103,3522,34064,15751,859,101,2076,2093,0,370,0,0.0000020265579223632813,0,38.805,24.795,32.561,5.89,a1d56ee4
glyph16_U0027,glyph16,10000,200000,123,quiesced,7,12774,1153,108,tree_cheaper,1208,131,46,592,124,33,3,18,28,0,6,0,0.00000095367431640625,0,71.831,0.987,71.450,0.64,a1d56ee4
glyph16_U0028,glyph16,10000,200000,1959,class_cap,2,12387,9583,2616,shared,252472,1031,732,8048,3138,210,25,490,490,0,75,0,0.0000013113021850585938,0,62.893,14.841,60.971,4.89,a1d56ee4
glyph16_U0029,glyph16,10000,200000,1777,class_cap,2,12038,9562,2783,shared,261800,953,674,7440,2903,197,23,448,448,0,72,0,0.0000015348196029663086,0,54.970,6.476,53.617,4.88,a1d56ee4
glyph16_U002A,glyph16,10000,200000,647,class_cap,3,18399,7293,1154,tree_cheaper,48208,663,304,3072,1236,142,17,155,197,0,45,0,0.0000021457672119140625,0,226.423,3.044,225.500,3.79,a1d56ee4
glyph16_U002B,glyph16,10000,200000,259,class_cap,28,161545,5448,324,tree_cheaper,7744,283,73,816,205,52,7,37,46,0,10,0,0.000000476837158203125,0,1147.454,1.942,1146.875,2.63,a1d56ee4
